blog_name,post_url,tags,summary
pi-slices,http://pislices.ca/post/132666188905/wireframe-hurricane-151106,"['GIF', 'Artists on Tumblr', 'Design', 'Art', 'Animation', 'Abstract', 'Trippy', 'Psychedelic', 'Simple', 'Minmal', 'Loop', 'Cinema 4d', '3d', 'Pi-Slices', 'PiCreations', 'Everydays', 'Everyday', 'Daily', 'Mograph', 'Motion Graphics', 'Seamless', 'Seamless Loop', 'Perfect Loop', 'Cinema4d', 'C4d', 'Glow', 'After Effects', 'Starglow', 'Distortion', 'Lossy']",Wireframe Hurricane - 151106
mildvibe69,http://mildvibe.com/post/132634919709/m-i-l-d-v-i-b-e-night-beats-sunday-mourning,"['GIF', 'loop', 'psychedelic', 'green', 'purple', 'trippy']",M I L D V I B E NIGHT BEATS - SUNDAY MOURNING
hexeosis,http://hexeosis.tumblr.com/post/132635396311,"['hexagon', 'square', 'stripes', 'loop', 'geometric', 'gif', 'large', 'h']",
xponentialdesign,http://xponentialdesign.tumblr.com/post/132636252036/everyday-manifold-alternate-loop-get,"['trapcodeTAO', 'trapcode', 'xponentialdesign', 'manifold', 'loop', 'animgif', 'hdr', 'ibl', 'image based lighting']","#Everyday 

Manifold alternate #loop | get @trapcode_lab #trapcodeTAO #AfterEffects CS6 files here -> http://bit.ly/1HdHuwO"
peekage,http://peekage.tumblr.com/post/132647287133/another,"['vector', 'animation', 'loop', 'gif', 'bonzo', 'burger', 'fashion', 'man']",Another
lacorporacion,http://lacorporacion.tumblr.com/post/132647788686/thefutur3-made-with-quartz-composer,"['futurism', 'loop', '3d', 'gif', 'seamlessloop', 'cyberpunk', 'retrofuturistic', 'lights', 'space', 'ship', 'universe', 'future', 'visual', 'quartz']",THEFUTUR3 made with Quartz Composer
pedroalpera,http://blog.pedroalpera.com/post/132652953690/its-friday,"['LOOP', 'toonboom', 'toon boom harmony', 'animated gif', 'friday']",It’s Friday!
spiritform,http://spiritform.tumblr.com/post/132654547779/making-level-adjustments-forever,"['glitch', 'glitchscapes', 'gif', 'loop', '3d', 'animation', 'motiongraphics', 'experimental', 'abstract', 'art']","Making level adjustments, forever."
2dchaos,http://2dchaos.tumblr.com/post/132627131793/animation-test-for-laguna-a-character-in-wraith,"['low poly', '3d', 'character', 'original character', 'animation', 'maya', 'gamedev', 'indiedev', 'lowpoly', 'elf', 'glasses', 'redhead']","Animation test for Laguna, a character in Wraith Party."
raj-illustration,http://raj-illustration.tumblr.com/post/132648657265/rigging-in-blender-is-kinda-weird-but-its-not,"['blender', '3d model', 'cat', 'kitty', 'low poly', 'gif', 'animated', 'my art', 'cg']","Rigging in Blender is kinda weird! But, It’s not so bad once I got used to how the IK’s worked in Blender vs Maya (Maya’s just..."
trapers,http://trapers.net/post/103157569926/skin-me,"['alone365', 'gif']","skin me
 http://skinme.bigcartel.com/product/skin-me-zine-vol-2-demons"
numecaniq,http://numecaniq.tumblr.com/post/132611803477,"['gif', 'animation', 'cel animation', 'runner', 'Character Design', 'marathon', 'liquid', 'speed']",
arthurchaumay,http://arthurchaumay.tumblr.com/post/132615963393/having-fun-at-school,"['animation', '2D', 'gobelins', 'exercice', 'after effects', 'landscape', 'background', 'iceland', 'cold', 'winter is coming', 'snow', 'crfa18', 'mountains', 'lake', 'deserted', 'nature']",Having fun at school.
sciencefriday,http://sciencefriday.tumblr.com/post/132488623075/spider-stories-thatll-stick-with-you-science,"['Science', 'Spiders']",Spider Stories That'll Stick With You - Science Friday
perspecgifs,http://perspecgifs.tumblr.com/post/132587678596/everyone-wants-that-mad-love-fuji-superia-400,"['perspecgifs', 'perspective', '3d', 'gif', 'loop', 'perfect loop', 'gif loop', 'film', '35mm film', '35mm colour film', 'fuji superia', 'film is not dead', 'artists on tumblr', 'girls on film', 'shoot film', 'buy film not megapixels', 'believe in film', 'halloween', 'costumes', 'halloween costume', 'harley quinn', 'lenticular', 'film camera', 'film photography', 'follow', 'follow me', 'follow for follow', 'follow back', 'photographers on tumblr', 'photography']",Everyone wants that mad love.  Fuji Superia 400
olaolayuan,http://olaolayuan.tumblr.com/post/132592505446/16-bezier-wip-add-key-at-path-and-set-temporal,"['ae', 'motion', 'motion graphic', 'loop', 'gif', 'bezier curve', 'script']",#16. bezier wip add key at path and set temporal ease
suncanabr,http://suncanabr.tumblr.com/post/132592650572/walk-cycles-2-for-my-portfolio-previous,"['walk cycle', 'animation', 'animated gif', 'loop', 'flash animation', 'gif', 'fox', 'bike', 'bike riding', 'my art']",walk cycles 2/? for my portfolio :> previous
trapers,http://trapers.net/post/129922924941/drmengele,"['noir77', 'gif', 'traped .giffiti']",dr.mengele
timschreder,http://timschreder.tumblr.com/post/132577043105,"['gif', 'art', 'gif art', 'dog', 'cat', 'dogs', 'cats', 'artists on tumblr', 'doodle', 'sketch', 'drawing']",
sasj,http://sasj.tumblr.com/post/132556055295/geometric-animations-151104,"['gif', 'gif art', 'processing', 'creative coding', 'creative code', 'artists on tumblr', 'art', 'graphic art', 'animation', 'animated gif', 'geometric', 'geometry', 'generative', 'generative art', 'Code Art', 'code']",Geometric Animations / 151104
